,date,open,close,high,low,volume,open_interest
755043,20130129,64800000,65160000,65180000,64660000,134520,192032
755044,20130130,65300000,65380000,65500000,65300000,105238,194098
755045,20130131,66320000,66660000,66690000,66250000,119448,190944
755046,20130201,65600000,65560000,65620000,65300000,136754,201918
755047,20130204,65980000,66070000,66330000,65810000,142104,204394
755048,20130205,65940000,66180000,66260000,65830000,119484,200330
755049,20130206,66190000,65970000,66220000,65850000,88676,201450
755050,20130207,66110000,66020000,66330000,65960000,106976,195180
755051,20130208,65300000,65520000,65700000,65000000,98408,195676
755052,20130218,62890000,62700000,62940000,62420000,136064,210238
755053,20130219,62670000,62750000,62880000,62600000,93268,220772
755054,20130220,62030000,62070000,62220000,61800000,167676,255642
755055,20130221,60880000,59920000,60880000,59520000,260814,265654
755056,20130222,60260000,60460000,60560000,60180000,148990,257060
755057,20130225,60190000,60440000,60740000,60000000,160606,254796
755058,20130226,60750000,60450000,61080000,60360000,160482,254654
755059,20130227,61400000,61120000,61420000,60960000,140766,246488
755060,20130228,60860000,60800000,60960000,60750000,104102,247858
755061,20130301,59990000,59920000,60160000,59640000,134078,256610
755062,20130304,60450000,60280000,60500000,60030000,120306,253010
755063,20130305,60240000,60890000,60940000,60150000,147038,266720
755064,20130306,60450000,60620000,60930000,60450000,158216,269176
755065,20130307,60980000,60740000,61000000,60580000,134436,256576
755066,20130308,60630000,60440000,60700000,60250000,131012,264348
755067,20130311,60700000,60900000,60960000,60580000,132830,252768
755068,20130312,60810000,60450000,60860000,60450000,96506,250538
755069,20130313,61000000,60850000,61000000,60710000,131258,254510
755070,20130314,60490000,60140000,60490000,59400000,198510,238228
755071,20130315,60140000,60300000,60410000,59910000,136176,245058
755072,20130318,60390000,59790000,60400000,59330000,218586,245904
755073,20130319,60100000,60200000,60210000,59900000,104700,233230
755074,20130320,60130000,60190000,60280000,59850000,102868,235130
755075,20130321,59800000,60160000,60260000,59710000,127120,243874
755076,20130322,60570000,60440000,60600000,60320000,115434,232204
755077,20130325,59700000,59840000,60120000,59640000,113320,245632
755078,20130326,59850000,59710000,59970000,59620000,105996,237556
755079,20130327,59830000,58420000,59870000,58360000,319702,299622
755080,20130328,59170000,59320000,59620000,59080000,250694,230978
755081,20130329,58500000,58320000,58700000,57910000,176690,240292
755082,20130401,58310000,57370000,58380000,57300000,201872,245178
755083,20130402,57810000,57640000,57950000,57410000,172648,236768
755084,20130403,56100000,55470000,56110000,55380000,261454,246532
755085,20130408,56190000,56270000,56400000,55910000,176572,227208
755086,20130409,56100000,56610000,56650000,56090000,162138,228744
755087,20130410,57520000,57650000,57650000,57300000,151478,226972
755088,20130411,56640000,56590000,56900000,56440000,158282,219680
755089,20130412,56900000,56720000,56900000,56620000,100244,215596
755090,20130415,53340000,53340000,53340000,53340000,14618,210542
755091,20130416,48530000,48530000,48530000,48530000,56066,193570
755092,20130417,48400000,47640000,48830000,47250000,612936,183914
755093,20130418,46720000,47100000,47460000,45260000,659300,172780
755094,20130419,47020000,47880000,48420000,46860000,477892,158322
755095,20130422,47700000,47350000,47980000,47240000,304622,165912
755096,20130423,47350000,45870000,47590000,45510000,528696,189518
755097,20130424,46180000,46900000,47220000,45790000,496746,162964
755098,20130425,46930000,46930000,47430000,46640000,363126,143814
755099,20130426,49430000,48850000,50300000,48730000,406698,124786
755100,20130502,47350000,47420000,47630000,46820000,213340,117446
755101,20130503,47600000,48540000,48560000,47490000,232054,119630
755102,20130506,48900000,48450000,49640000,48200000,173466,114024
755103,20130507,48130000,47160000,48260000,47050000,227160,106226
755104,20130508,48600000,48820000,49040000,48320000,456092,192834
755105,20130509,48600000,49280000,49650000,48580000,503712,165516
755106,20130510,48500000,49190000,49200000,48300000,387560,174654
755107,20130513,48900000,48460000,49250000,48400000,448140,191524
755108,20130514,48800000,48510000,48980000,48460000,359648,197280
755109,20130515,48010000,47010000,48180000,46930000,552498,258702
755110,20130516,46590000,46560000,46900000,46240000,570488,275932
755111,20130517,46710000,46320000,46960000,46250000,558146,285722
755112,20130520,44500000,44220000,45350000,43830000,842816,286228
755113,20130521,46500000,46640000,46980000,45810000,802662,237546
755114,20130522,46400000,46500000,46620000,46020000,479390,228884
755115,20130523,45580000,45790000,45850000,45150000,561584,235464
755116,20130524,46000000,46030000,46360000,45680000,464634,230814
755117,20130527,45720000,46440000,46540000,45600000,352650,229820
755118,20130528,46180000,46110000,46440000,46050000,327356,225094
755119,20130529,46030000,45440000,46150000,45420000,523550,248654
755120,20130530,45800000,46330000,46460000,45700000,479300,226530
755121,20130531,46490000,46680000,46870000,46410000,327216,205674
755122,20130603,46100000,46010000,46240000,45800000,296834,207604
755123,20130604,46560000,46250000,46650000,46170000,235944,210678
755124,20130605,46160000,46270000,46440000,45920000,277668,210758
755125,20130606,46100000,45820000,46160000,45700000,226454,212580
755126,20130607,46380000,46330000,46640000,46250000,260218,184518
755127,20130613,44630000,44930000,45100000,44600000,215416,190272
755128,20130614,44900000,44650000,44940000,44520000,210800,203200
755129,20130617,45010000,44920000,45150000,44910000,149758,200076
755130,20130618,44900000,44730000,44990000,44620000,187186,220982
755131,20130619,44600000,44640000,44690000,44210000,236998,227010
755132,20130620,43680000,42930000,43760000,42280000,298892,250684
755133,20130621,40800000,40820000,41200000,40800000,304670,241040
755134,20130624,41220000,39980000,41300000,39840000,500922,249028
755135,20130625,40200000,40220000,40450000,39810000,442052,239350
755136,20130626,40060000,38560000,40110000,37970000,1142838,290462
755137,20130627,38320000,38380000,38740000,37950000,849368,281474
755138,20130628,37690000,38390000,38650000,37100000,1111408,272408
755139,20130701,39550000,40340000,40340000,39260000,896516,247566
755140,20130702,40300000,40380000,40440000,39900000,647658,247418
755141,20130703,39980000,40060000,40190000,39710000,586626,241134
755142,20130704,40360000,40080000,40400000,40050000,342352,233452
755143,20130705,40000000,39180000,40080000,38920000,917482,283586
755144,20130708,38690000,38260000,38740000,38120000,1939664,295128
755145,20130709,39000000,39400000,39850000,38720000,1773534,293266
755146,20130710,39170000,39040000,39320000,38660000,1997926,298810
755147,20130711,39240000,40760000,41400000,38900000,2227978,312686
755148,20130712,40890000,40310000,41030000,40190000,1985888,309352
755149,20130715,40330000,40500000,41100000,40300000,1938500,316494
755150,20130716,40340000,40440000,40600000,40060000,1565754,301828
755151,20130717,40600000,40490000,40770000,40320000,1512418,283814
755152,20130718,40720000,39390000,40930000,39140000,2875250,344550
755153,20130719,39630000,39420000,39920000,39120000,3087694,343310
755154,20130722,39530000,40520000,40720000,39450000,2064822,328462
755155,20130723,41220000,40880000,41340000,40790000,1995634,308580
755156,20130724,40680000,41000000,41190000,40650000,1492750,316984
755157,20130725,40700000,40590000,40860000,40400000,1668404,314184
755158,20130726,40680000,40560000,40860000,40510000,1051696,298806
755159,20130729,40100000,39600000,40300000,39530000,1780284,348344
755160,20130730,39950000,39510000,39950000,39470000,1271962,361666
755161,20130731,39640000,39900000,40090000,39350000,1438120,334168
755162,20130801,39610000,39410000,39790000,39110000,2428990,355080
755163,20130802,39680000,38870000,39690000,38690000,1928122,378464
755164,20130805,40180000,39910000,40300000,39720000,1808828,341410
755165,20130806,39500000,39450000,39640000,39270000,1154302,364330
755166,20130807,39460000,39180000,39470000,38920000,1056722,370348
755167,20130808,39000000,39720000,40050000,38970000,1369088,363770
755168,20130809,40030000,40460000,40880000,39910000,2204684,374752
755169,20130812,40550000,42590000,42790000,40470000,3397322,413778
755170,20130813,42490000,43550000,43830000,42490000,2750170,466774
755171,20130814,43570000,43080000,43780000,43000000,4039498,478218
755172,20130815,43580000,44310000,44740000,43260000,3774164,474152
755173,20130816,43850000,46280000,46480000,43760000,4233794,443220
755174,20130819,46200000,46500000,47590000,46100000,5088030,464844
755175,20130820,46500000,45330000,46710000,44550000,5042070,464134
755176,20130821,46100000,45970000,46540000,45550000,4948762,469890
755177,20130822,46110000,45920000,46250000,45280000,4599914,484708
755178,20130823,46280000,46450000,46680000,45910000,3426000,470834
755179,20130826,46380000,49040000,49130000,46350000,5119342,475770
755180,20130827,48960000,49140000,49850000,48510000,5141320,500642
755181,20130828,49900000,50620000,51030000,49710000,4964648,572410
755182,20130829,50660000,48480000,50850000,47360000,6379402,446092
755183,20130830,48660000,47600000,48660000,47360000,5609278,478076
755184,20130902,47300000,49030000,49360000,46850000,5498110,495464
755185,20130903,49010000,48820000,49190000,48460000,3789120,505264
755186,20130904,49450000,48470000,49660000,47960000,4064880,560402
755187,20130905,47600000,47170000,47900000,46720000,3873272,544046
755188,20130906,47340000,47190000,47390000,46620000,4127394,554414
755189,20130909,48000000,48210000,48400000,47820000,3240356,514166
755190,20130910,47760000,47380000,48210000,47030000,3133352,544340
755191,20130911,46820000,46840000,47140000,46060000,3805662,544422
755192,20130912,46680000,46060000,46920000,46040000,2774396,555910
755193,20130913,44500000,44150000,44890000,43820000,3534604,485938
755194,20130916,44430000,44140000,45120000,43790000,3789360,533336
755195,20130917,44050000,44550000,44780000,44010000,3682646,535920
755196,20130918,44220000,44190000,44430000,43370000,3723242,472906
755197,20130923,44000000,43960000,44260000,42150000,1706022,463634
755198,20130924,43910000,43920000,44680000,43850000,3469360,488268
755199,20130925,43250000,44090000,44370000,43160000,3210934,483276
755200,20130926,43830000,43980000,44430000,43790000,2829900,443136
755201,20130927,44320000,43620000,44330000,43580000,2117576,395604
755202,20130930,44100000,44000000,44180000,43740000,1342150,314850
755203,20131008,44900000,45320000,45450000,44730000,863480,359980
755204,20131009,45320000,45160000,45530000,45060000,1806840,417220
755205,20131010,44380000,44370000,44660000,44230000,1773790,418980
755206,20131011,44430000,43670000,44540000,43640000,1823428,461552
755207,20131014,43050000,43310000,43480000,42820000,2306044,465370
755208,20131015,43550000,42790000,43610000,42600000,2030902,503742
755209,20131016,42470000,43290000,43350000,42460000,2678470,478422
755210,20131017,43240000,42810000,43830000,42800000,3397410,486870
755211,20131018,44100000,44300000,44310000,43780000,2315668,431834
755212,20131021,44300000,44960000,45080000,44130000,1885758,466234
755213,20131022,44970000,44770000,45170000,44610000,1854220,457564
755214,20131023,45180000,45780000,46050000,45130000,2799262,476372
755215,20131024,45850000,45840000,45970000,45500000,2160304,455274
755216,20131025,45810000,45120000,45950000,44940000,1956162,368684
755217,20131028,45080000,45170000,45550000,44750000,2382762,379528
755218,20131029,45170000,45340000,45370000,44970000,1832958,370668
755219,20131030,45200000,45630000,45730000,44920000,1973714,407518
755220,20131031,46000000,44830000,46360000,44570000,2674172,319214
755221,20131101,43950000,44120000,44340000,43830000,1662600,303770
755222,20131104,44010000,43750000,44130000,43660000,1463956,316190
755223,20131105,44000000,43740000,44130000,43510000,1247130,298924
755224,20131106,43800000,43870000,43920000,43610000,1090478,309362
755225,20131107,44200000,44160000,44250000,43800000,1097966,300662
755226,20131108,44340000,43850000,44380000,43100000,1923370,281928
755227,20131111,43870000,43250000,44190000,43110000,2084728,319704
755228,20131112,43210000,43000000,43320000,42630000,1200020,329096
755229,20131113,43000000,42330000,43090000,42030000,1642810,349446
755230,20131114,42450000,42570000,42820000,42050000,1788150,333870
755231,20131115,42430000,42420000,42730000,42290000,1593220,331208
755232,20131118,42450000,42440000,42550000,42240000,1010004,295596
755233,20131119,42200000,41840000,42320000,41570000,1248374,313452
755234,20131120,42000000,42270000,42330000,41840000,1260504,299168
755235,20131121,42020000,41460000,42200000,41230000,1534776,256518
755236,20131122,41550000,41460000,41670000,41330000,986980,233232
755237,20131125,41500000,40980000,41650000,40920000,874790,240300
755238,20131126,41170000,41690000,41810000,40960000,930452,166420
755239,20131127,41720000,41690000,41830000,41490000,406552,228204
755240,20131128,41730000,41500000,41850000,41260000,799684,298750
755241,20131129,41520000,41470000,41620000,41320000,616656,341668
755242,20131202,42000000,41700000,42000000,41500000,935634,376868
755243,20131203,41460000,40780000,41510000,40610000,1435238,465478
755244,20131204,40740000,40630000,40790000,40430000,1531380,493428
755245,20131205,40820000,41140000,41500000,40630000,2001458,478288
755246,20131206,40950000,41220000,41430000,40750000,2343196,511952
755247,20131209,41160000,41520000,41810000,40830000,3018118,562338
755248,20131210,41530000,42320000,42360000,41520000,2048834,613734
755249,20131211,42510000,42760000,42940000,42480000,2453760,597932
755250,20131212,42670000,42810000,43100000,42630000,2052732,606276
755251,20131213,41930000,41020000,42030000,40840000,3156432,598110
755252,20131216,41180000,41160000,41440000,41040000,2245612,594870
755253,20131217,41280000,42190000,42720000,41260000,4046964,594490
755254,20131218,41960000,42050000,42470000,41520000,3755048,618996
755255,20131219,42010000,41380000,42340000,40950000,3439356,651792
755256,20131220,40800000,40590000,40920000,40460000,2712018,672522
755257,20131223,40650000,41010000,41300000,40550000,2783272,702166
755258,20131224,41140000,40760000,41250000,40650000,1930942,699852
755259,20131225,40840000,41020000,41130000,40700000,1564986,652948
755260,20131226,41060000,40990000,41150000,40820000,1179044,649654
755261,20131227,41040000,41960000,42020000,41010000,2904058,676200
755262,20131230,41840000,41590000,42330000,41490000,2886732,648554
755263,20131231,41400000,40990000,41740000,40790000,2712884,625272
755264,20140102,41180000,42130000,42260000,41170000,1602996,668218
755265,20140103,41960000,42130000,42380000,41750000,2761576,625652
755266,20140106,42150000,41940000,42500000,41810000,2672588,601888
755267,20140107,41810000,41930000,42250000,41710000,2765338,607500
755268,20140108,41700000,40880000,41870000,40800000,3285602,640120
755269,20140109,41000000,40500000,41170000,40100000,3737784,622260
755270,20140110,40620000,40840000,41170000,40260000,3293378,589882
755271,20140113,40980000,41440000,42030000,40540000,4218540,603216
755272,20140114,41350000,41780000,42050000,40960000,3671768,603400
755273,20140115,41670000,41420000,42120000,41250000,3981698,591432
755274,20140116,41180000,41390000,41640000,41070000,3026456,581086
755275,20140117,41250000,41430000,41630000,41200000,2169836,573502
755276,20140120,41510000,41780000,41880000,41460000,2118776,583554
755277,20140121,41850000,41520000,41930000,41420000,1309466,569326
755278,20140122,41020000,40900000,41150000,40710000,2258252,559418
755279,20140123,40990000,40730000,41060000,40510000,1559286,576600
755280,20140124,41230000,41240000,41550000,41120000,2530326,523948
755281,20140127,41590000,41020000,41640000,40790000,2117330,538122
755282,20140128,41000000,41020000,41150000,40770000,1812776,515202
755283,20140129,41010000,40850000,41030000,40640000,1319710,489422
755284,20140130,40980000,40610000,41120000,40400000,1210638,455972
755285,20140207,41300000,40960000,41310000,40780000,412980,414250
755286,20140210,41000000,41490000,41530000,40800000,1950536,540492
755287,20140211,41680000,41330000,41760000,41220000,1735816,533038
755288,20140212,41500000,41350000,41540000,41030000,2295082,522826
755289,20140213,41500000,41360000,41570000,41290000,1665284,529180
755290,20140214,41440000,42490000,42500000,41350000,2480476,656584
755291,20140217,43050000,44400000,44400000,42850000,2727756,687998
755292,20140218,44410000,44120000,44830000,43840000,3059920,668884
755293,20140219,43990000,44320000,44690000,43850000,3714632,705584
755294,20140220,44390000,43880000,44620000,43530000,3578102,665272
755295,20140221,43830000,43940000,44210000,43710000,2749468,648202
755296,20140224,44070000,44080000,44250000,43330000,3120350,638146
755297,20140225,44500000,44090000,44610000,44050000,3345578,624978
755298,20140226,44000000,44410000,44680000,43830000,3540346,658932
755299,20140227,43870000,42830000,43870000,42510000,4259772,519400
